cohort,n,n_CN,n_AD,pct_AD,AGE,PTGENDER,PTEDUCAT,PTMARRY,CATANIMSC,TRAASCOR,TRABSCOR,DSPANFOR,DSPANBAC,BNTTOTAL,BMI,VSWEIGHT,MH14ALCH,MH16SMOK,MH4CARD,MH2NEURL,mmse_score
GLOBAL,4366,3418,948,21.7%,"69.0 [64.0, 74.0] (n=4364)",1658/4366 (38.0%),"16.0 [14.0, 18.0] (n=4345)",mode=1.0 (n=4340),"20.0 [16.0, 25.0] (n=3875)","31.0 [24.0, 42.0] (n=3798)","77.0 [58.0, 114.0] (n=3751)","8.0 [7.0, 10.0] (n=1026)","6.0 [5.0, 8.0] (n=1024)","29.0 [27.0, 30.0] (n=1036)","27.2 [24.1, 31.0] (n=3603)","158.0 [136.0, 177.0] (n=3319)",187/4087 (4.6%),585/4081 (14.3%),375/4094 (9.2%),116/1635 (7.1%),"27.5 [23.5, 29.0] (n=656)"
ADNI,656,304,352,53.7%,"72.9 [68.3, 78.4] (n=656)",333/656 (50.8%),"16.0 [14.0, 18.0] (n=656)",mode=1.0 (n=656),"17.0 [13.0, 22.0] (n=655)","36.0 [28.0, 50.0] (n=653)","92.0 [65.0, 153.0] (n=641)","8.0 [7.0, 10.0] (n=385)","6.0 [5.0, 7.0] (n=384)","27.0 [23.0, 29.0] (n=395)","28.0 [23.8, 45.5] (n=159)","145.0 [105.3, 170.0] (n=572)",17/397 (4.3%),152/397 (38.3%),275/397 (69.3%),104/397 (26.2%),"27.5 [23.5, 29.0] (n=656)"
NACC,2968,2574,394,13.3%,"68.0 [63.0, 73.0] (n=2966)",1077/2968 (36.3%),"16.0 [14.0, 18.0] (n=2963)",mode=1.0 (n=2943),"21.0 [17.0, 25.0] (n=2968)","30.0 [23.0, 40.0] (n=2893)","74.0 [56.0, 107.0] (n=2866)","9.0 [8.0, 11.0] (n=490)","7.0 [6.0, 9.0] (n=490)","29.0 [28.0, 30.0] (n=490)","27.2 [24.0, 30.8] (n=2704)","159.0 [139.0, 178.0] (n=2178)",131/2956 (4.4%),103/2959 (3.5%),60/2958 (2.0%),1/499 (0.2%),NA
OASIS,742,540,202,27.2%,"70.1 [65.7, 75.1] (n=742)",248/742 (33.4%),"16.0 [14.0, 18.0] (n=726)",mode=1.0 (n=741),"20.5 [16.8, 25.0] (n=252)","31.0 [24.0, 42.0] (n=252)","79.5 [60.0, 114.0] (n=244)","7.0 [6.0, 8.0] (n=151)","4.0 [4.0, 5.0] (n=150)","56.0 [50.0, 58.0] (n=151)","27.3 [24.3, 30.9] (n=740)","161.0 [141.0, 180.0] (n=569)",39/734 (5.3%),330/725 (45.5%),40/739 (5.4%),11/739 (1.5%),NA
