feature,label,type,n_real_cn,n_real_ad,n_imputed_excluded,real_pct,effect_global,lb95,ub95,p_global,weighted_intra,decay,decay_class,p_inter_cohorte
AGE,Age (years),continuous,3416,946,4,99.90838295923041,0.3167970277911185,0.2767567419951379,0.36141577875041464,1.8940032866832675e-50,0.2244053141150289,0.09239171367608962,ambigu,9.402164749116609e-48
PTGENDER,"Gender (1=M, 2=F)",binary,3418,948,0,100.0,0.11906563779038731,,,3.622407295591307e-15,0.11232055192982025,0.00674508586056706,intrinsèque,
PTEDUCAT,Education (years),continuous,3404,944,18,99.58772331653688,-0.1836803411738932,-0.2238536744532853,-0.13994660911141432,1.1283032810716057e-18,0.16281349643224546,0.02086684474164774,intrinsèque,1.7259206877531735e-09
PTMARRY,Marital status,categorical,3402,946,18,99.58772331653688,-0.15542063927076843,-0.18289899580274266,-0.12475072957954095,3.79348157052363e-19,0.14536887095197215,0.010051768318796284,intrinsèque,6.215185395524998e-07
CATANIMSC,Animal Fluency (raw),continuous,3072,815,479,89.02885936784241,-0.7100160563650306,-0.7387041674654908,-0.6812864363656698,2.850682182613659e-214,0.7202292455232931,-0.010213189158262526,intrinsèque,4.474810669135441e-28
TRAASCOR,Trail Making A (sec),continuous,3023,795,548,87.44846541456711,0.6331621093628097,0.6015545700988438,0.667832425201339,9.747667247476897e-167,0.6632878400914329,-0.030125730728623235,intrinsèque,2.9901487071755407e-22
TRABSCOR,Trail Making B (sec),continuous,2991,782,593,86.4177737059093,0.7348174104581434,0.7035334798085646,0.76328050648108,2.2540291304075693e-220,0.7861327912976532,-0.05131538083950982,ambigu,5.115644825860455e-14
DSPANFOR,Digit Span Forward,continuous,701,356,3309,24.209803023362344,-0.32287342319960244,-0.3921367348410777,-0.25660573177964074,4.2721872461250335e-18,0.28894189803208037,0.03393152516752207,intrinsèque,3.8706297859522726e-41
DSPANBAC,Digit Span Backward,continuous,701,353,3312,24.141090242785157,-0.4367091932609424,-0.5014622978909127,-0.37890811588463263,1.4889265448958402e-31,0.4293365291652737,0.007372664095668668,intrinsèque,1.7411471768614623e-43
BNTTOTAL,Boston Naming,continuous,701,365,3300,24.415941365093907,-0.3809196255838039,-0.4532668594766771,-0.3102530631387646,5.8613755189399e-25,0.4437741784747795,-0.06285455289097563,ambigu,5.426854525743011e-91
BMI,BMI,continuous,2998,598,770,82.36371965185525,-0.1187826443939215,-0.1642104909404485,-0.07083826508642328,4.365728008244102e-06,0.14224029499815066,-0.023457650604229163,intrinsèque,3.832270344458936e-05
VSWEIGHT,Weight (kg),continuous,2598,756,1012,76.82088868529546,-0.1054881451340266,-0.1583455145594292,-0.059044897682792315,9.824454259716856e-06,0.0737876422772622,0.0317005028567644,intrinsèque,3.320640955578673e-27
MH14ALCH,Alcohol use,binary,3195,889,282,93.5409986257444,0.002047808723142135,,,0.8958800176628625,0.014914216167630301,-0.012866407444488167,intrinsèque,
MH16SMOK,Smoking,binary,3188,886,292,93.31195602382043,0.13714154682877314,,,2.0691647465147574e-18,0.01719126140819605,0.11995028542057709,ambigu,
MH4CARD,Cardiovascular hist.,binary,3205,891,270,93.81584974805314,0.3077254605715989,,,2.4069318447628546e-86,0.022439332668397302,0.28528612790320157,FORTUIT (Simpson),
MH2NEURL,Neurological hist.,binary,1171,500,2695,38.273018781493356,0.2496483564581666,,,1.8814222215549473e-24,0.010638562967977895,0.23900979349018872,FORTUIT (Simpson),
mmse_score,MMSE score,continuous,326,352,3688,15.529088410444341,-0.9566543502509761,-0.9719961307863916,-0.9372305057863916,4.8703563548097126e-104,0.9566543502509761,0.0,intrinsèque,
