cohort,n,n_CN,n_AD,pct_AD,AGE,PTGENDER,PTEDUCAT,PTMARRY,CATANIMSC,TRAASCOR,TRABSCOR,DSPANFOR,DSPANBAC,BNTTOTAL,BMI,VSWEIGHT,MH14ALCH,MH16SMOK,MH4CARD,MH2NEURL,mmse_score
GLOBAL,4366,3418,948,21.7%,"69.0 [64.0, 74.0] (n=4362)",1647/4366 (37.7%),"16.0 [14.0, 18.0] (n=4348)",mode=1.0 (n=4348),"20.0 [16.0, 25.0] (n=3887)","31.0 [24.0, 42.0] (n=3818)","78.0 [57.0, 114.0] (n=3773)","8.0 [7.0, 10.0] (n=1057)","6.0 [5.0, 8.0] (n=1054)","29.0 [27.0, 30.0] (n=1066)","27.1 [23.9, 30.8] (n=3596)","157.0 [135.0, 177.0] (n=3354)",201/4084 (4.9%),583/4074 (14.3%),385/4096 (9.4%),133/1671 (8.0%),"27.5 [24.0, 29.0] (n=678)"
ADNI,678,326,352,51.9%,"72.4 [67.8, 78.4] (n=678)",333/678 (49.1%),"16.0 [14.0, 18.0] (n=678)",mode=1.0 (n=678),"18.0 [14.0, 22.0] (n=678)","35.5 [28.0, 49.0] (n=674)","90.0 [65.0, 144.0] (n=665)","8.0 [7.0, 10.0] (n=403)","6.0 [5.0, 7.0] (n=401)","27.0 [23.0, 29.0] (n=413)","28.5 [24.2, 44.3] (n=170)","143.0 [103.0, 170.0] (n=599)",16/415 (3.9%),148/415 (35.7%),289/415 (69.6%),118/415 (28.4%),"27.5 [24.0, 29.0] (n=678)"
NACC,2948,2547,401,13.6%,"68.0 [63.0, 73.0] (n=2944)",1068/2948 (36.2%),"16.0 [14.0, 18.0] (n=2943)",mode=1.0 (n=2931),"21.0 [17.0, 25.0] (n=2948)","30.0 [23.0, 40.0] (n=2883)","74.0 [56.0, 107.0] (n=2854)","9.0 [8.0, 11.0] (n=506)","7.0 [6.0, 9.0] (n=506)","29.0 [28.0, 30.0] (n=505)","26.9 [23.8, 30.7] (n=2686)","158.0 [138.0, 178.0] (n=2188)",146/2935 (5.0%),108/2934 (3.7%),57/2942 (1.9%),1/518 (0.2%),NA
OASIS,740,545,195,26.4%,"70.0 [65.2, 75.2] (n=740)",246/740 (33.2%),"16.0 [14.0, 18.0] (n=727)",mode=1.0 (n=739),"20.0 [16.0, 24.0] (n=261)","32.0 [26.0, 43.0] (n=261)","80.0 [60.2, 120.0] (n=254)","6.5 [6.0, 8.0] (n=148)","4.0 [4.0, 5.0] (n=147)","54.5 [50.0, 58.0] (n=148)","27.3 [24.3, 30.9] (n=740)","162.0 [141.0, 179.0] (n=567)",39/734 (5.3%),327/725 (45.1%),39/739 (5.3%),14/738 (1.9%),NA
