feature,effect_global,weighted_intra,decay,decay_class
MH4CARD,0.2942469897676686,0.019059194966351993,0.2751877948013166,FORTUIT (Simpson)
MH2NEURL,0.23230733912903323,0.006904259243310697,0.22540307988572253,FORTUIT (Simpson)
MH16SMOK,0.16615372116769678,0.023400815883928974,0.1427529052837678,FORTUIT (Simpson)
AGE,0.3472135564181701,0.24666609087348285,0.10054746554468724,ambigu
BNTTOTAL,-0.41190550354935485,0.4966239450470515,-0.08471844149769664,ambigu
VSWEIGHT,-0.1199933961219295,0.06258909176786762,0.05740430435406188,ambigu
TRABSCOR,0.7221831630788673,0.7739042470097433,-0.05172108393087593,ambigu
DSPANFOR,-0.31493205422174264,0.26451730820204616,0.05041474601969648,ambigu
PTEDUCAT,-0.16540277049523966,0.13090402495723796,0.034498745538001696,intrinsèque
BMI,-0.08848225460396919,0.11531467288775109,-0.026832418283781898,intrinsèque
TRAASCOR,0.6282815445731215,0.6543106407721776,-0.026029096199056134,intrinsèque
DSPANBAC,-0.43882153454853756,0.46127045081481277,-0.02244891626627521,intrinsèque
MH14ALCH,0.003520387357086934,0.014358310145226174,-0.01083792278813924,intrinsèque
PTGENDER,0.1035855412171669,0.10798708834554094,-0.004401547128374039,intrinsèque
PTMARRY,-0.15016014603421768,0.14585797979546297,0.004302166238754707,intrinsèque
CATANIMSC,-0.6992215752819915,0.6989975680873377,0.00022400719465376362,intrinsèque
mmse_score,-0.9565359599282297,0.9565359599282297,0.0,intrinsèque
