feature,label,n_real,shapiro_W,shapiro_p,is_normal_05
AGE,Age (years),4364,0.9916903983056763,2.6620109207028047e-15,False
PTEDUCAT,Education (years),4345,0.934072758771085,3.447015594244142e-40,False
CATANIMSC,Animal Fluency (raw),3875,0.723852522577765,2.0994424963363788e-62,False
TRAASCOR,Trail Making A (sec),3798,0.20651143151782148,1.8980164528729117e-83,False
TRABSCOR,Trail Making B (sec),3751,0.4359844120433656,7.409938232169883e-76,False
DSPANFOR,Digit Span Forward,1026,0.9649919144622222,5.3945023706085785e-15,False
DSPANBAC,Digit Span Backward,1024,0.9643075691967308,3.845668295080008e-15,False
BNTTOTAL,Boston Naming,1036,0.736955682511226,1.4423201625915342e-37,False
BMI,BMI,3603,0.916096950317774,7.977464748985141e-41,False
VSWEIGHT,Weight (kg),3319,0.9507313550236889,4.948243812374082e-32,False
mmse_score,MMSE score,656,0.8728279766794066,1.069319067188882e-22,False
