feature,label,type,n_real_cn,n_real_ad,n_imputed_excluded,real_pct,effect_global,lb95,ub95,p_global,weighted_intra,decay,decay_class,p_inter_cohorte
AGE,Age (years),continuous,3417,947,2,99.9541914796152,0.3472135564181701,0.3008468434892437,0.3853038367390329,2.7221034211936415e-60,0.24666609087348285,0.10054746554468724,ambigu,1.583962501913957e-57
PTGENDER,"Gender (1=M, 2=F)",binary,3418,948,0,100.0,0.1035855412171669,,,7.674954274814649e-12,0.10798708834554094,-0.004401547128374039,intrinsèque,
PTEDUCAT,Education (years),continuous,3399,946,21,99.51901053595968,-0.16540277049523966,-0.20169723311233811,-0.12449626087016019,1.8255879921886387e-15,0.13090402495723796,0.034498745538001696,intrinsèque,3.376006963861641e-12
PTMARRY,Marital status,categorical,3396,944,26,99.40448923499771,-0.15016014603421768,-0.1793708497409714,-0.11980920505929209,7.154468222408402e-18,0.14585797979546297,0.004302166238754707,intrinsèque,2.713197704914313e-07
CATANIMSC,Animal Fluency (raw),continuous,3066,809,491,88.75400824553367,-0.6992215752819915,-0.7319961365008946,-0.6670675505585,1.4242065851790756e-206,0.6989975680873377,0.00022400719465376362,intrinsèque,8.891247136083503e-30
TRAASCOR,Trail Making A (sec),continuous,3008,790,568,86.9903802107192,0.6282815445731215,0.5932850478891732,0.6610220530063291,3.131520560305845e-163,0.6543106407721776,-0.026029096199056134,intrinsèque,1.817871013532303e-24
TRABSCOR,Trail Making B (sec),continuous,2977,774,615,85.91387998167659,0.7221831630788673,0.6910565953967498,0.7526287454463548,5.1171728066664336e-211,0.7739042470097433,-0.05172108393087593,ambigu,1.5048178615764936e-14
DSPANFOR,Digit Span Forward,continuous,674,352,3340,23.499770957398074,-0.31493205422174264,-0.38117802889803076,-0.24760356251686008,5.737143708033385e-17,0.26451730820204616,0.05041474601969648,ambigu,2.18919387420383e-35
DSPANBAC,Digit Span Backward,continuous,674,350,3342,23.453962437013285,-0.43882153454853756,-0.5021935142009326,-0.3772773420941076,2.820504916059374e-31,0.46127045081481277,-0.02244891626627521,intrinsèque,9.111990709346494e-40
BNTTOTAL,Boston Naming,continuous,674,362,3330,23.728813559322035,-0.41190550354935485,-0.48534774251192686,-0.3310295998163844,2.150632469188717e-28,0.4966239450470515,-0.08471844149769664,ambigu,3.4727995792444774e-94
BMI,BMI,continuous,3008,595,763,82.52404947320201,-0.08848225460396919,-0.13892470219470762,-0.034769969157875835,0.0006372207254510954,0.11531467288775109,-0.026832418283781898,intrinsèque,0.0031673467538449944
VSWEIGHT,Weight (kg),continuous,2566,753,1047,76.01923957856161,-0.1199933961219295,-0.16429122429481854,-0.07358794233303215,5.326802424833515e-07,0.06258909176786762,0.05740430435406188,ambigu,1.1132973820787432e-23
MH14ALCH,Alcohol use,binary,3207,880,279,93.60971140632157,0.003520387357086934,,,0.8219348326930072,0.014358310145226174,-0.01083792278813924,intrinsèque,
MH16SMOK,Smoking,binary,3203,878,285,93.4722858451672,0.16615372116769678,,,2.5556924324342564e-26,0.023400815883928974,0.1427529052837678,FORTUIT (Simpson),
MH4CARD,Cardiovascular hist.,binary,3213,881,272,93.77004122766834,0.2942469897676686,,,4.519600867000758e-79,0.019059194966351993,0.2751877948013166,FORTUIT (Simpson),
MH2NEURL,Neurological hist.,binary,1134,501,2731,37.44846541456711,0.23230733912903323,,,5.810604927225689e-21,0.006904259243310697,0.22540307988572253,FORTUIT (Simpson),
mmse_score,MMSE score,continuous,304,352,3710,15.025194686211634,-0.9565359599282297,-0.972342955666866,-0.9384861412230862,2.4621852815303714e-100,0.9565359599282297,0.0,intrinsèque,
