feature,effect_global,weighted_intra,decay,decay_class
MH4CARD,0.2939404304415398,0.015863545051014873,0.2780768853905249,FORTUIT (Simpson)
MH2NEURL,0.2639760281196999,0.05267772988871479,0.21129829823098512,FORTUIT (Simpson)
MH16SMOK,0.1547173057183043,0.014837978166633663,0.13987932755167065,FORTUIT (Simpson)
AGE,0.3355866708675427,0.24377162410467246,0.09181504676287022,ambigu
BNTTOTAL,-0.36575549000327756,0.434349059397583,-0.06859356939430544,ambigu
VSWEIGHT,-0.10960418109664749,0.05886513227865561,0.05073904881799188,ambigu
TRABSCOR,0.7275881505226311,0.7771154318961803,-0.049527281373549115,ambigu
DSPANFOR,-0.3020547698080531,0.26599524036210664,0.03605952944594648,intrinsèque
TRAASCOR,0.6455480316073104,0.6749671194754046,-0.029419087868094107,intrinsèque
DSPANBAC,-0.4571143312510304,0.48108801804546236,-0.02397368679443196,intrinsèque
PTEDUCAT,-0.1579314518450068,0.13775293586208137,0.020178515982925416,intrinsèque
PTGENDER,0.12134270068305682,0.13202192066054047,-0.010679219977483653,intrinsèque
MH14ALCH,0.0024377004317968644,0.011383828631240236,-0.008946128199443371,intrinsèque
BMI,-0.09029233819604876,0.09923317983456378,-0.008940841638515024,intrinsèque
PTMARRY,-0.15493007062966435,0.14659843937847714,0.008331631251187216,intrinsèque
CATANIMSC,-0.7103980825243883,0.7067735850311783,0.0036244974932100327,intrinsèque
mmse_score,-0.9473021266623705,0.9473021266623705,0.0,intrinsèque
