timestamp,epoch,step,loss,learning_rate,grad_norm,loss_cls,loss_reg
2026-05-02T11:27:29,0.03664681630783326,20,0.8716363906860352,3.8000000000000005e-06,9.98802375793457,,
2026-05-02T11:36:10,0.07329363261566652,40,0.5169922351837158,7.800000000000002e-06,2.752074956893921,,
2026-05-02T11:44:51,0.10994044892349977,60,0.5734772682189941,1.18e-05,6.80832052230835,,
2026-05-02T11:53:32,0.14658726523133303,80,0.5465412616729737,1.58e-05,1.724276065826416,,
2026-05-02T12:02:12,0.1832340815391663,100,0.5258615016937256,1.98e-05,2.3948140144348145,,
2026-05-02T12:10:54,0.21988089784699955,120,0.4515117645263672,1.9997424587422548e-05,1.2803906202316284,,
2026-05-02T12:19:35,0.2565277141548328,140,0.3238272428512573,1.9989150520088785e-05,0.8623345494270325,,
2026-05-02T12:28:17,0.29317453046266606,160,0.3652880430221558,1.9975175385810998e-05,0.4541760981082916,,
2026-05-02T12:36:57,0.3298213467704993,180,0.3621228218078613,1.995550716056031e-05,0.14227010309696198,,
2026-05-02T12:45:37,0.3664681630783326,200,0.43698320388793943,1.993015706950232e-05,0.47134435176849365,,
2026-05-02T12:54:20,0.4031149793861658,220,0.313790488243103,1.989913958059063e-05,0.5526880025863647,,
2026-05-02T13:02:59,0.4397617956939991,240,0.5863864898681641,1.9862472396309577e-05,9.803451538085938,,
2026-05-02T13:11:41,0.4764086120018323,260,0.3558521747589111,1.9820176443570997e-05,0.23925477266311646,,
2026-05-02T13:20:21,0.5130554283096656,280,0.36391701698303225,1.977227586177069e-05,1.5069916248321533,,
2026-05-02T13:29:02,0.5497022446174988,300,0.3365166664123535,1.9718797989011414e-05,0.5804650187492371,,
2026-05-02T13:37:42,0.5863490609253321,320,0.2782831907272339,1.9659773346500363e-05,0.45325973629951477,,
2026-05-02T13:46:23,0.6229958772331654,340,0.3635437250137329,1.959523562112989e-05,0.35752227902412415,,
2026-05-02T13:55:04,0.6596426935409986,360,0.5303866863250732,1.952522164625154e-05,0.9225476384162903,,
