timestamp,epoch,step,loss,learning_rate,grad_norm,loss_cls,loss_reg
2026-05-05T00:28:07,0.03664681630783326,20,2.8930198669433596,3.8000000000000005e-06,6.540744304656982,,
2026-05-05T00:38:23,0.07329363261566652,40,0.8144603729248047,7.800000000000002e-06,1.4398155212402344,,
2026-05-05T00:48:39,0.10994044892349977,60,0.6731074333190918,1.18e-05,6.451826095581055,,
2026-05-05T00:58:54,0.14658726523133303,80,0.5201974391937256,1.58e-05,2.7508018016815186,,
2026-05-05T01:09:09,0.1832340815391663,100,0.5306497097015381,1.98e-05,0.47016817331314087,,
2026-05-05T01:19:26,0.21988089784699955,120,0.4774477958679199,1.9997424587422548e-05,0.6445909142494202,,
2026-05-05T01:29:43,0.2565277141548328,140,0.3681764602661133,1.9989150520088785e-05,1.856938123703003,,
2026-05-05T01:39:58,0.29317453046266606,160,0.5179832935333252,1.9975175385810998e-05,0.2616857886314392,,
2026-05-05T01:50:12,0.3298213467704993,180,0.3306365728378296,1.995550716056031e-05,0.1666056215763092,,
2026-05-05T02:00:28,0.3664681630783326,200,0.40975055694580076,1.993015706950232e-05,0.6899220943450928,,
2026-05-05T09:18:15,0.4031149793861658,220,0.34508371353149414,1.989913958059063e-05,0.4744613468647003,,
2026-05-05T09:27:34,0.4397617956939991,240,0.48362979888916013,1.9862472396309577e-05,8.611895561218262,,
2026-05-05T09:36:53,0.4764086120018323,260,0.3932004690170288,1.9820176443570997e-05,0.3451942503452301,,
2026-05-05T09:46:12,0.5130554283096656,280,0.45132126808166506,1.977227586177069e-05,0.4718484878540039,,
2026-05-05T09:55:31,0.5497022446174988,300,0.4122946262359619,1.9718797989011414e-05,1.0986647605895996,,
2026-05-05T10:04:50,0.5863490609253321,320,0.284993314743042,1.9659773346500363e-05,0.4613097608089447,,
2026-05-05T10:14:09,0.6229958772331654,340,0.548678207397461,1.959523562112989e-05,0.4727949798107147,,
2026-05-05T10:23:29,0.6596426935409986,360,0.4908773422241211,1.952522164625154e-05,2.6324119567871094,,
2026-05-05T10:32:49,0.6962895098488319,380,0.27228875160217286,1.9449771380654305e-05,0.4315004348754883,,
2026-05-05T10:42:08,0.7329363261566652,400,0.3394239187240601,1.936892788575909e-05,3.096745014190674,,
2026-05-05T10:51:28,0.7695831424644984,420,0.32139954566955564,1.9282737301042474e-05,0.5268880724906921,,
2026-05-05T11:00:47,0.8062299587723316,440,0.33786859512329104,1.919124881770369e-05,0.33292973041534424,,
2026-05-05T11:10:05,0.8428767750801649,460,0.4482593059539795,1.909451465058994e-05,0.27838754653930664,,
2026-05-05T11:19:23,0.8795235913879982,480,0.33651325702667234,1.8992590008396036e-05,0.6883821487426758,,
2026-05-05T11:28:42,0.9161704076958315,500,0.26820666790008546,1.8885533062155367e-05,0.1270028054714203,,
2026-05-05T11:38:00,0.9528172240036646,520,0.25333170890808104,1.8773404912040174e-05,1.4131155014038086,,
2026-05-05T11:47:20,0.9894640403114979,540,0.4050171375274658,1.865626955249011e-05,0.5659622550010681,,
2026-05-05T12:05:24,1.0256527714154833,560,0.3174448490142822,1.8534193835688944e-05,0.33666229248046875,,
2026-05-05T12:14:43,1.0622995877233166,580,0.28825888633728025,1.8407247433410297e-05,0.8864091634750366,,
2026-05-05T12:24:04,1.0989464040311498,600,0.3048156023025513,1.8275502797254163e-05,0.44042348861694336,,
2026-05-05T12:33:23,1.1355932203389831,620,0.18530389070510864,1.8139035117296885e-05,0.46076181530952454,,
2026-05-05T12:42:42,1.1722400366468162,640,0.29169750213623047,1.7997922279178247e-05,0.11080937832593918,,
2026-05-05T12:52:00,1.2088868529546495,660,0.3202520370483398,1.7852244819650112e-05,0.6451225876808167,,
2026-05-05T13:01:19,1.2455336692624828,680,0.34931867122650145,1.7702085880612013e-05,0.7278966903686523,,
2026-05-05T13:10:37,1.282180485570316,700,0.23425717353820802,1.754753116165993e-05,2.3276705741882324,,
2026-05-05T13:19:57,1.3188273018781493,720,0.20709381103515626,1.7388668871175295e-05,0.667929470539093,,
2026-05-05T13:29:17,1.3554741181859826,740,0.33866395950317385,1.722558967598219e-05,3.0706963539123535,,
2026-05-05T13:38:37,1.392120934493816,760,0.29769952297210694,1.7058386649601437e-05,1.8379684686660767,,
2026-05-05T13:47:56,1.428767750801649,780,0.2928856372833252,1.6887155219131144e-05,0.4942527413368225,,
2026-05-05T13:57:14,1.4654145671094825,800,0.3219548225402832,1.671199311078397e-05,0.4297426640987396,,
2026-05-05T14:06:33,1.5020613834173155,820,0.2412731409072876,1.6533000294112254e-05,0.2410021871328354,,
2026-05-05T14:15:52,1.5387081997251488,840,0.29707586765289307,1.6350278924952804e-05,0.07759717106819153,,
2026-05-05T14:25:13,1.5753550160329821,860,0.26313707828521726,1.6163933287123904e-05,0.5659024119377136,,
2026-05-05T14:34:32,1.6120018323408154,880,0.15631881952285767,1.5974069732907847e-05,0.2431950718164444,,
2026-05-05T14:43:52,1.6486486486486487,900,0.30766274929046633,1.578079662235293e-05,3.0363590717315674,,
