prompt,split,n,AUC,F1 (seuil val),Sens,Spec,F1 (0.5)
T1 — full (baseline),val,486,0.9645729890764647,0.7703703703703704,0.9811320754716981,0.8421052631578947,0.8034188034188035
T6 — image_centric,val,486,0.954977656405164,0.7949790794979079,0.8962264150943396,0.9,0.5236907730673317
T6 — image_focused v1 (structures),val,486,0.9168073485600795,0.6737588652482269,0.8962264150943396,0.7868421052631579,0.3581081081081081
T6 — image_focused v2 (CoT),val,486,0.9161246276067527,0.6426229508196721,0.9245283018867925,0.7342105263157894,0.3581081081081081
T6 — image_focused v3 (radiologue),val,486,0.9,0.6850393700787402,0.8207547169811321,0.8394736842105263,0.4259634888438134
