feature,test_key,p_raw,p_holm,sig_raw,sig_corr
AGE,p_global,1.8940032866832675e-50,1.0038217419421318e-48,*,*
AGE,cohort:ADNI,1.858015185879472e-07,5.759847076226363e-06,*,*
AGE,cohort:NACC,9.140032302806931e-08,2.924810336898218e-06,*,*
AGE,cohort:OASIS,9.67180489628526e-21,4.449030252291219e-19,*,*
PTGENDER,p_global,3.622407295591307e-15,1.485186991192436e-13,*,*
PTGENDER,cohort:ADNI,4.272462648093436e-05,0.0009826664090614903,*,*
PTGENDER,cohort:NACC,7.609115985615687e-11,2.6631905949654905e-09,*,*
PTGENDER,cohort:OASIS,0.26260704954550185,1.0, , 
PTEDUCAT,p_global,1.1283032810716057e-18,4.964534436715065e-17,*,*
PTEDUCAT,cohort:ADNI,2.038303767380005e-11,7.541723939306019e-10,*,*
PTEDUCAT,cohort:NACC,2.3292371423018477e-06,6.288940284214988e-05,*,*
PTEDUCAT,cohort:OASIS,0.011886083888544237,0.2258355938823405,*, 
PTMARRY,p_global,3.79348157052363e-19,1.7070667067356336e-17,*,*
PTMARRY,cohort:ADNI,4.0298265496183833e-07,1.208947964885515e-05,*,*
PTMARRY,cohort:NACC,1.700711385701678e-10,5.782418711385706e-09,*,*
PTMARRY,cohort:OASIS,0.24034080360971788,1.0, , 
CATANIMSC,p_global,2.850682182613659e-214,1.738916131394332e-212,*,*
CATANIMSC,cohort:ADNI,5.568810691611989e-50,2.840093452722115e-48,*,*
CATANIMSC,cohort:NACC,1.1390871924301552e-127,6.6067057160949e-126,*,*
CATANIMSC,cohort:OASIS,8.959624441692125e-13,3.494253532259929e-11,*,*
TRAASCOR,p_global,9.747667247476897e-167,5.848600348486138e-165,*,*
TRAASCOR,cohort:ADNI,1.9474917960541448e-33,9.737458980270724e-32,*,*
TRAASCOR,cohort:NACC,5.2399479072219535e-110,2.9867703071165136e-108,*,*
TRAASCOR,cohort:OASIS,2.391962805679253e-10,7.893477258741535e-09,*,*
TRABSCOR,p_global,2.2540291304075693e-220,1.397498060852693e-218,*,*
TRABSCOR,cohort:ADNI,3.0728383402662966e-50,1.5978759369384743e-48,*,*
TRABSCOR,cohort:NACC,6.500760927406304e-151,3.8354489471697197e-149,*,*
TRABSCOR,cohort:OASIS,1.2008812598815987e-12,4.563348787550075e-11,*,*
DSPANFOR,p_global,4.2721872461250335e-18,1.794318643372514e-16,*,*
DSPANFOR,cohort:ADNI,8.572910334991576e-07,2.486143997147557e-05,*,*
DSPANFOR,cohort:OASIS,0.014803386700147475,0.26646096060265456,*, 
DSPANBAC,p_global,1.4889265448958402e-31,7.295740069989616e-30,*,*
DSPANBAC,cohort:ADNI,4.097864163682149e-11,1.4752310989255735e-09,*,*
DSPANBAC,cohort:OASIS,9.423272972560655e-07,2.6385164323169833e-05,*,*
BNTTOTAL,p_global,5.8613755189399e-25,2.813460249091152e-23,*,*
BNTTOTAL,cohort:ADNI,4.975968306167162e-13,1.990387322466865e-11,*,*
BNTTOTAL,cohort:OASIS,1.728794605417252e-05,0.0004149107053001405,*,*
BMI,p_global,4.365728008244102e-06,0.00011350892821434665,*,*
BMI,cohort:ADNI,0.1457007326465306,1.0, , 
BMI,cohort:NACC,9.16238822332997e-05,0.002015725409132593,*,*
BMI,cohort:OASIS,0.00017423644032426168,0.0036589652468094953,*,*
VSWEIGHT,p_global,9.824454259716856e-06,0.0002456113564929214,*,*
VSWEIGHT,cohort:ADNI,0.1096241722473876,1.0, , 
VSWEIGHT,cohort:NACC,0.05134001283944664,0.8727802182705929, , 
VSWEIGHT,cohort:OASIS,0.15548442407024832,1.0, , 
MH14ALCH,p_global,0.8958800176628625,1.0, , 
MH14ALCH,cohort:ADNI,0.5806718130547566,1.0, , 
MH14ALCH,cohort:NACC,0.7566069080356657,1.0, , 
MH14ALCH,cohort:OASIS,0.22510099589093227,1.0, , 
MH16SMOK,p_global,2.0691647465147574e-18,8.897408410013457e-17,*,*
MH16SMOK,cohort:ADNI,0.6695748535020152,1.0, , 
MH16SMOK,cohort:NACC,0.4145173271517594,1.0, , 
MH16SMOK,cohort:OASIS,0.5242674995201717,1.0, , 
MH4CARD,p_global,2.4069318447628546e-86,1.2997431961719415e-84,*,*
MH4CARD,cohort:ADNI,0.9467562608577954,1.0, , 
MH4CARD,cohort:NACC,0.7576852109362048,1.0, , 
MH4CARD,cohort:OASIS,0.006619688978171791,0.13239377956343581,*, 
MH2NEURL,p_global,1.8814222215549473e-24,8.842684441308252e-23,*,*
MH2NEURL,cohort:ADNI,0.5470894874170478,1.0, , 
MH2NEURL,cohort:OASIS,1.0,1.0, , 
mmse_score,p_global,4.8703563548097126e-104,2.727399558693439e-102,*,*
mmse_score,cohort:ADNI,4.8703563548097126e-104,2.727399558693439e-102,*,*
