feature,label,n_real,shapiro_W,shapiro_p,is_normal_05
AGE,Age (years),4363,0.9924302121607184,1.798434518948479e-14,False
PTEDUCAT,Education (years),4343,0.9327444648638944,1.7514392131956826e-40,False
CATANIMSC,Animal Fluency (raw),3867,0.7584803645624546,7.336426457555388e-60,False
TRAASCOR,Trail Making A (sec),3802,0.20443051295557624,1.5656211525875813e-83,False
TRABSCOR,Trail Making B (sec),3761,0.43782296386164554,7.501139560727614e-76,False
DSPANFOR,Digit Span Forward,1042,0.9637200332592579,1.9524370982383122e-15,False
DSPANBAC,Digit Span Backward,1038,0.9664650860445119,9.825527630447812e-15,False
BNTTOTAL,Boston Naming,1050,0.7203615068966965,1.2515957569016408e-38,False
BMI,BMI,3624,0.9159145615946231,5.957065818948262e-41,False
VSWEIGHT,Weight (kg),3354,0.9472426016451605,4.265875864399238e-33,False
mmse_score,MMSE score,660,0.86200449891694,1.2644873355637004e-23,False
