feature,effect_global,weighted_intra,decay,decay_class
MH4CARD,0.2978635883047393,0.014676252963605455,0.28318733534113383,FORTUIT (Simpson)
MH2NEURL,0.25244316136610556,0.043904210425377385,0.20853895094072816,FORTUIT (Simpson)
MH16SMOK,0.1681818882946285,0.03188951452293513,0.13629237377169334,FORTUIT (Simpson)
AGE,0.31690942130536226,0.2135357828878341,0.10337363841752817,ambigu
DSPANFOR,-0.28908322906406125,0.21334941294162632,0.07573381612243493,ambigu
BNTTOTAL,-0.37147879701071185,0.43728739222887986,-0.06580859521816801,ambigu
TRABSCOR,0.725926697842445,0.7776984634605889,-0.051771765618143895,ambigu
TRAASCOR,0.6334878768103844,0.6654313212122177,-0.031943444401833276,intrinsèque
VSWEIGHT,-0.09495795822562925,0.07219949020570889,0.02275846801992036,intrinsèque
DSPANBAC,-0.45262680590099746,0.43179011163930536,0.0208366942616921,intrinsèque
BMI,-0.09049714654251995,0.10874717787783317,-0.01825003133531322,intrinsèque
PTEDUCAT,-0.16608854299120868,0.15330031320576804,0.012788229785440641,intrinsèque
PTMARRY,-0.14116270944701426,0.1308993432783876,0.010263366168626664,intrinsèque
CATANIMSC,-0.6924984126881288,0.7023715053757842,-0.00987309268765535,intrinsèque
PTGENDER,0.12123011354519904,0.11466695806858865,0.006563155476610391,intrinsèque
MH14ALCH,0.015139476138245053,0.014276765136031242,0.0008627110022138111,intrinsèque
mmse_score,-0.947096053611318,0.947096053611318,0.0,intrinsèque
