feature,label,n_real,shapiro_W,shapiro_p,is_normal_05
AGE,Age (years),4363,0.9898083600886527,3.36142566624518e-17,False
PTEDUCAT,Education (years),4343,0.9338305261996258,3.0864079545262995e-40,False
CATANIMSC,Animal Fluency (raw),3870,0.7495245904330847,1.497484489736268e-60,False
TRAASCOR,Trail Making A (sec),3804,0.2045507362351876,1.530573545282749e-83,False
TRABSCOR,Trail Making B (sec),3761,0.43238684907928004,4.72642735888904e-76,False
DSPANFOR,Digit Span Forward,1001,0.9620398431440348,1.8209098528577625e-15,False
DSPANBAC,Digit Span Backward,997,0.9626992322373102,2.792727019524261e-15,False
BNTTOTAL,Boston Naming,1009,0.7205920130500395,5.407529492102264e-38,False
BMI,BMI,3623,0.918647263120841,1.8970474009883976e-40,False
VSWEIGHT,Weight (kg),3343,0.9499862661599482,2.475359090412341e-32,False
mmse_score,MMSE score,656,0.8657692445738658,2.9108129052598666e-23,False
