feature,test_key,p_raw,p_holm,sig_raw,sig_corr
AGE,p_global,1.7387109460769197e-50,9.215168014207675e-49,*,*
AGE,cohort:ADNI,1.5674412889465682e-09,5.329300382418332e-08,*,*
AGE,cohort:NACC,2.5602799966102527e-06,7.168783990508707e-05,*,*
AGE,cohort:OASIS,6.466025354598476e-20,2.9097114095693143e-18,*,*
PTGENDER,p_global,1.1436726235846305e-15,4.9177922814139114e-14,*,*
PTGENDER,cohort:ADNI,4.1423133772092494e-08,1.3255402807069598e-06,*,*
PTGENDER,cohort:NACC,1.5843430143279331e-09,5.329300382418332e-08,*,*
PTGENDER,cohort:OASIS,0.25241484419113913,1.0, , 
PTEDUCAT,p_global,1.562602363734712e-15,6.56292992768579e-14,*,*
PTEDUCAT,cohort:ADNI,7.672964653474625e-08,2.3786190425771338e-06,*,*
PTEDUCAT,cohort:NACC,1.176056569060579e-06,3.410564050275679e-05,*,*
PTEDUCAT,cohort:OASIS,0.028634741730641854,0.5726948346128371,*, 
PTMARRY,p_global,5.727817002488375e-16,2.520239481094885e-14,*,*
PTMARRY,cohort:ADNI,1.950942947508567e-05,0.0005267545958273131,*,*
PTMARRY,cohort:NACC,5.623297683480499e-10,1.9681541892181745e-08,*,*
PTMARRY,cohort:OASIS,0.8966967865125329,1.0, , 
CATANIMSC,p_global,4.767452411627703e-202,2.9081459710928985e-200,*,*
CATANIMSC,cohort:ADNI,8.03461104397354e-45,4.097651632426505e-43,*,*
CATANIMSC,cohort:NACC,6.666217928350341e-123,3.8664063984431975e-121,*,*
CATANIMSC,cohort:OASIS,9.46535336329483e-13,3.786141345317932e-11,*,*
TRAASCOR,p_global,2.261503682743895e-165,1.356902209646337e-163,*,*
TRAASCOR,cohort:ADNI,1.6407599753451866e-34,8.203799876725933e-33,*,*
TRAASCOR,cohort:NACC,1.4575126441964972e-109,8.307822071920033e-108,*,*
TRAASCOR,cohort:OASIS,2.5190325855276832e-11,9.320420566452428e-10,*,*
TRABSCOR,p_global,1.5941469942907982e-212,9.883711364602948e-211,*,*
TRABSCOR,cohort:ADNI,2.646519168075105e-47,1.3761899673990545e-45,*,*
TRABSCOR,cohort:NACC,9.159798033167775e-150,5.404280839568987e-148,*,*
TRABSCOR,cohort:OASIS,2.119267297946001e-11,8.053215732194803e-10,*,*
DSPANFOR,p_global,3.4587829410191547e-14,1.4181010058178534e-12,*,*
DSPANFOR,cohort:ADNI,0.00033830817164174156,0.008119396119401798,*,*
DSPANFOR,cohort:OASIS,0.08637432801171481,1.0, , 
DSPANBAC,p_global,3.310383821118322e-32,1.622088072347978e-30,*,*
DSPANBAC,cohort:ADNI,1.9795286780763633e-10,7.126303241074908e-09,*,*
DSPANBAC,cohort:OASIS,3.42697971835636e-07,1.028093915506908e-05,*,*
BNTTOTAL,p_global,8.486826289075009e-23,3.903940092974504e-21,*,*
BNTTOTAL,cohort:ADNI,1.1594396910884292e-12,4.521814795244874e-11,*,*
BNTTOTAL,cohort:OASIS,0.00010034353543328016,0.002508588385832004,*,*
BMI,p_global,0.0004049309808367868,0.00890848157840931,*,*
BMI,cohort:ADNI,0.8202406055404294,1.0, , 
BMI,cohort:NACC,0.003279186922683381,0.068862925376351,*, 
BMI,cohort:OASIS,0.0003835934252296565,0.0088226487802821,*,*
VSWEIGHT,p_global,7.066176600615036e-05,0.0018372059161599094,*,*
VSWEIGHT,cohort:ADNI,0.04095045598528938,0.7780586637204983,*, 
VSWEIGHT,cohort:NACC,0.09988753471451944,1.0, , 
VSWEIGHT,cohort:OASIS,0.094339552109674,1.0, , 
MH14ALCH,p_global,0.3326999385085704,1.0, , 
MH14ALCH,cohort:ADNI,0.2009488247812019,1.0, , 
MH14ALCH,cohort:NACC,0.8514274949910065,1.0, , 
MH14ALCH,cohort:OASIS,0.40504251272755165,1.0, , 
MH16SMOK,p_global,5.56765372757175e-27,2.67247378923444e-25,*,*
MH16SMOK,cohort:ADNI,0.1398072017112725,1.0, , 
MH16SMOK,cohort:NACC,0.07198188018337563,1.0, , 
MH16SMOK,cohort:OASIS,0.9164381840405954,1.0, , 
MH4CARD,p_global,3.904320392735349e-81,2.1083330120770887e-79,*,*
MH4CARD,cohort:ADNI,0.21572440816552105,1.0, , 
MH4CARD,cohort:NACC,0.8572476170703502,1.0, , 
MH4CARD,cohort:OASIS,0.34665260600634706,1.0, , 
MH2NEURL,p_global,2.2970461427888008e-24,1.0796116871107365e-22,*,*
MH2NEURL,cohort:ADNI,0.11552811365531082,1.0, , 
MH2NEURL,cohort:OASIS,0.4978413602776486,1.0, , 
mmse_score,p_global,7.930537482816109e-99,4.441100990377021e-97,*,*
mmse_score,cohort:ADNI,7.930537482816109e-99,4.441100990377021e-97,*,*
