feature,label,type,n_real_cn,n_real_ad,n_imputed_excluded,real_pct,effect_global,lb95,ub95,p_global,weighted_intra,decay,decay_class,p_inter_cohorte
AGE,Age (years),continuous,3417,946,3,99.93128721942281,0.31690942130536226,0.27123749645009626,0.35757812417826296,1.7387109460769197e-50,0.2135357828878341,0.10337363841752817,ambigu,4.0148778311568558e-53
PTGENDER,"Gender (1=M, 2=F)",binary,3418,948,0,100.0,0.12123011354519904,,,1.1436726235846305e-15,0.11466695806858865,0.006563155476610391,intrinsèque,
PTEDUCAT,Education (years),continuous,3399,944,23,99.4732020155749,-0.16608854299120868,-0.20722313329942507,-0.12992698500556002,1.562602363734712e-15,0.15330031320576804,0.012788229785440641,intrinsèque,2.1408523118133273e-08
PTMARRY,Marital status,categorical,3397,942,27,99.38158497480532,-0.14116270944701426,-0.17183959150918107,-0.11191545618808159,5.727817002488375e-16,0.1308993432783876,0.010263366168626664,intrinsèque,1.962305723838175e-07
CATANIMSC,Animal Fluency (raw),continuous,3064,806,496,88.63948694457169,-0.6924984126881288,-0.7267753901061879,-0.6580413340870365,4.767452411627703e-202,0.7023715053757842,-0.00987309268765535,intrinsèque,1.281955395425259e-25
TRAASCOR,Trail Making A (sec),continuous,3018,786,562,87.12780577187357,0.6334878768103844,0.5987642634439335,0.6680602453978419,2.261503682743895e-165,0.6654313212122177,-0.031943444401833276,intrinsèque,7.591464975464545e-18
TRABSCOR,Trail Making B (sec),continuous,2991,770,605,86.14292258360055,0.725926697842445,0.694512552809945,0.7591484844142817,1.5941469942907982e-212,0.7776984634605889,-0.051771765618143895,ambigu,3.4366007541609026e-11
DSPANFOR,Digit Span Forward,continuous,659,342,3365,22.92716445258818,-0.28908322906406125,-0.35584717674307154,-0.2145299230625882,3.4587829410191547e-14,0.21334941294162632,0.07573381612243493,ambigu,7.407784642135027e-32
DSPANBAC,Digit Span Backward,continuous,659,338,3369,22.8355474118186,-0.45262680590099746,-0.5154130114661806,-0.3903645248763144,3.310383821118322e-32,0.43179011163930536,0.0208366942616921,intrinsèque,5.6837928928853027e-36
BNTTOTAL,Boston Naming,continuous,658,351,3357,23.110398534127345,-0.37147879701071185,-0.4389360836169347,-0.29770618467426985,8.486826289075009e-23,0.43728739222887986,-0.06580859521816801,ambigu,5.336235266548185e-90
BMI,BMI,continuous,3010,613,743,82.98213467704994,-0.09049714654251995,-0.13725863489293427,-0.04372477819991013,0.0004049309808367868,0.10874717787783317,-0.01825003133531322,intrinsèque,0.002077827345741759
VSWEIGHT,Weight (kg),continuous,2589,754,1023,76.56894182317912,-0.09495795822562925,-0.14322709678675238,-0.04831713800377642,7.066176600615036e-05,0.07219949020570889,0.02275846801992036,intrinsèque,7.668517580892911e-24
MH14ALCH,Alcohol use,binary,3203,891,272,93.77004122766834,0.015139476138245053,,,0.3326999385085704,0.014276765136031242,0.0008627110022138111,intrinsèque,
MH16SMOK,Smoking,binary,3196,894,276,93.67842418689877,0.1681818882946285,,,5.56765372757175e-27,0.03188951452293513,0.13629237377169334,FORTUIT (Simpson),
MH4CARD,Cardiovascular hist.,binary,3208,894,264,93.95327530920751,0.2978635883047393,,,3.904320392735349e-81,0.014676252963605455,0.28318733534113383,FORTUIT (Simpson),
MH2NEURL,Neurological hist.,binary,1132,496,2738,37.28813559322034,0.25244316136610556,,,2.2970461427888008e-24,0.043904210425377385,0.20853895094072816,FORTUIT (Simpson),
mmse_score,MMSE score,continuous,316,340,3710,15.025194686211634,-0.947096053611318,-0.967184475055845,-0.9281028946388683,7.930537482816109e-99,0.947096053611318,0.0,intrinsèque,
